datetime,data,type,unit,network,region
2015-02-21 21:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-21 22:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-21 22:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-21 22:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-21 22:15:00,-0.2443,gas_ocgt,MW,nem,VIC1
2015-02-21 22:20:00,-0.2443,gas_ocgt,MW,nem,VIC1
2015-02-21 22:25:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-21 22:30:00,13.98,gas_ocgt,MW,nem,VIC1
2015-02-21 22:35:00,19.8,gas_ocgt,MW,nem,VIC1
2015-02-21 22:40:00,20.22,gas_ocgt,MW,nem,VIC1
2015-02-21 22:45:00,20.64,gas_ocgt,MW,nem,VIC1
2015-02-21 22:50:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-21 22:55:00,19.68,gas_ocgt,MW,nem,VIC1
2015-02-21 23:00:00,19.86,gas_ocgt,MW,nem,VIC1
2015-02-21 23:05:00,19.74,gas_ocgt,MW,nem,VIC1
2015-02-21 23:10:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-21 23:15:00,19.74,gas_ocgt,MW,nem,VIC1
2015-02-21 23:20:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-21 23:25:00,19.8,gas_ocgt,MW,nem,VIC1
2015-02-21 23:30:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-21 23:35:00,19.51,gas_ocgt,MW,nem,VIC1
2015-02-21 23:40:00,19.99,gas_ocgt,MW,nem,VIC1
2015-02-21 23:45:00,19.99,gas_ocgt,MW,nem,VIC1
2015-02-21 23:50:00,20.17,gas_ocgt,MW,nem,VIC1
2015-02-21 23:55:00,20.17,gas_ocgt,MW,nem,VIC1
2015-02-22 00:00:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 00:05:00,20.28,gas_ocgt,MW,nem,VIC1
2015-02-22 00:10:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-22 00:15:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-22 00:20:00,20.83,gas_ocgt,MW,nem,VIC1
2015-02-22 00:25:00,20.71,gas_ocgt,MW,nem,VIC1
2015-02-22 00:30:00,19.86,gas_ocgt,MW,nem,VIC1
2015-02-22 00:35:00,19.8,gas_ocgt,MW,nem,VIC1
2015-02-22 00:40:00,20.52,gas_ocgt,MW,nem,VIC1
2015-02-22 00:45:00,20.4,gas_ocgt,MW,nem,VIC1
2015-02-22 00:50:00,20.22,gas_ocgt,MW,nem,VIC1
2015-02-22 00:55:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-22 01:00:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 01:05:00,20.46,gas_ocgt,MW,nem,VIC1
2015-02-22 01:10:00,20.4,gas_ocgt,MW,nem,VIC1
2015-02-22 01:15:00,20.22,gas_ocgt,MW,nem,VIC1
2015-02-22 01:20:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 01:25:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 01:30:00,19.8,gas_ocgt,MW,nem,VIC1
2015-02-22 01:35:00,20.76,gas_ocgt,MW,nem,VIC1
2015-02-22 01:40:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 01:45:00,20.58,gas_ocgt,MW,nem,VIC1
2015-02-22 01:50:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 01:55:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 02:00:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 02:05:00,20.76,gas_ocgt,MW,nem,VIC1
2015-02-22 02:10:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 02:15:00,19.86,gas_ocgt,MW,nem,VIC1
2015-02-22 02:20:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-22 02:25:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 02:30:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 02:35:00,19.86,gas_ocgt,MW,nem,VIC1
2015-02-22 02:40:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 02:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 02:50:00,-0.226,gas_ocgt,MW,nem,VIC1
2015-02-22 02:55:00,-0.226,gas_ocgt,MW,nem,VIC1
2015-02-22 03:00:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:05:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:10:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:15:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:20:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:25:00,-0.04601,gas_ocgt,MW,nem,VIC1
2015-02-22 03:30:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:35:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:40:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:50:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 03:55:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:00:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:05:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:10:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:15:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:20:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:25:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:30:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:35:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:40:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:50:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 04:55:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:15:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:20:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 05:25:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:30:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 05:35:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 05:40:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 05:45:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 05:50:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 05:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:00:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 06:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:15:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 06:20:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 06:25:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:30:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:40:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:45:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:50:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 06:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:15:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:20:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:25:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:30:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:40:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:45:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:50:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 07:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:15:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:20:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:25:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:30:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:40:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:45:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:50:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 08:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:10:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 09:15:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:20:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:25:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-22 09:30:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 09:40:00,-5.004,gas_ocgt,MW,nem,VIC1
2015-02-22 09:45:00,34.01,gas_ocgt,MW,nem,VIC1
2015-02-22 09:50:00,93.0,gas_ocgt,MW,nem,VIC1
2015-02-22 09:55:00,159.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:00:00,213.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:05:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:10:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:15:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:20:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:25:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:30:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:35:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:40:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:45:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:50:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 10:55:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:00:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:05:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:10:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:15:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:20:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:25:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:30:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:35:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:40:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:45:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:50:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 11:55:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:00:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:05:00,216.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:10:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:15:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:20:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:25:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:30:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:35:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:40:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:45:00,236.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:50:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 12:55:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:00:00,235.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:05:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:10:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:15:00,234.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:20:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:25:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:30:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:35:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:40:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:45:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:50:00,230.0,gas_ocgt,MW,nem,VIC1
2015-02-22 13:55:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:00:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:05:00,230.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:10:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:15:00,233.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:20:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:25:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:30:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:35:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:40:00,232.0,gas_ocgt,MW,nem,VIC1
2015-02-22 14:45:00,229.8,gas_ocgt,MW,nem,VIC1
2015-02-22 14:50:00,231.8,gas_ocgt,MW,nem,VIC1
2015-02-22 14:55:00,231.0,gas_ocgt,MW,nem,VIC1
2015-02-22 15:00:00,240.8,gas_ocgt,MW,nem,VIC1
2015-02-22 15:05:00,260.2,gas_ocgt,MW,nem,VIC1
2015-02-22 15:10:00,269.1,gas_ocgt,MW,nem,VIC1
2015-02-22 15:15:00,267.1,gas_ocgt,MW,nem,VIC1
2015-02-22 15:20:00,268.3,gas_ocgt,MW,nem,VIC1
2015-02-22 15:25:00,268.3,gas_ocgt,MW,nem,VIC1
2015-02-22 15:30:00,269.3,gas_ocgt,MW,nem,VIC1
2015-02-22 15:35:00,270.3,gas_ocgt,MW,nem,VIC1
2015-02-22 15:40:00,270.2,gas_ocgt,MW,nem,VIC1
2015-02-22 15:45:00,269.4,gas_ocgt,MW,nem,VIC1
2015-02-22 15:50:00,270.4,gas_ocgt,MW,nem,VIC1
2015-02-22 15:55:00,269.2,gas_ocgt,MW,nem,VIC1
2015-02-22 16:00:00,270.2,gas_ocgt,MW,nem,VIC1
2015-02-22 16:05:00,269.2,gas_ocgt,MW,nem,VIC1
2015-02-22 16:10:00,269.4,gas_ocgt,MW,nem,VIC1
2015-02-22 16:15:00,269.2,gas_ocgt,MW,nem,VIC1
2015-02-22 16:20:00,269.3,gas_ocgt,MW,nem,VIC1
2015-02-22 16:25:00,270.5,gas_ocgt,MW,nem,VIC1
2015-02-22 16:30:00,270.6,gas_ocgt,MW,nem,VIC1
2015-02-22 16:35:00,270.7,gas_ocgt,MW,nem,VIC1
2015-02-22 16:40:00,271.0,gas_ocgt,MW,nem,VIC1
2015-02-22 16:45:00,270.2,gas_ocgt,MW,nem,VIC1
2015-02-22 16:50:00,271.4,gas_ocgt,MW,nem,VIC1
2015-02-22 16:55:00,270.6,gas_ocgt,MW,nem,VIC1
2015-02-22 17:00:00,271.7,gas_ocgt,MW,nem,VIC1
2015-02-22 17:05:00,270.8,gas_ocgt,MW,nem,VIC1
2015-02-22 17:10:00,271.8,gas_ocgt,MW,nem,VIC1
2015-02-22 17:15:00,270.9,gas_ocgt,MW,nem,VIC1
2015-02-22 17:20:00,272.0,gas_ocgt,MW,nem,VIC1
2015-02-22 17:25:00,272.0,gas_ocgt,MW,nem,VIC1
2015-02-22 17:30:00,271.1,gas_ocgt,MW,nem,VIC1
2015-02-22 17:35:00,271.3,gas_ocgt,MW,nem,VIC1
2015-02-22 17:40:00,271.1,gas_ocgt,MW,nem,VIC1
2015-02-22 17:45:00,271.3,gas_ocgt,MW,nem,VIC1
2015-02-22 17:50:00,272.4,gas_ocgt,MW,nem,VIC1
2015-02-22 17:55:00,272.5,gas_ocgt,MW,nem,VIC1
2015-02-22 18:00:00,272.5,gas_ocgt,MW,nem,VIC1
2015-02-22 18:05:00,272.6,gas_ocgt,MW,nem,VIC1
2015-02-22 18:10:00,270.5,gas_ocgt,MW,nem,VIC1
2015-02-22 18:15:00,272.6,gas_ocgt,MW,nem,VIC1
2015-02-22 18:20:00,272.6,gas_ocgt,MW,nem,VIC1
2015-02-22 18:25:00,216.7,gas_ocgt,MW,nem,VIC1
2015-02-22 18:30:00,188.7,gas_ocgt,MW,nem,VIC1
2015-02-22 18:35:00,245.8,gas_ocgt,MW,nem,VIC1
2015-02-22 18:40:00,284.5,gas_ocgt,MW,nem,VIC1
2015-02-22 18:45:00,228.8,gas_ocgt,MW,nem,VIC1
2015-02-22 18:50:00,285.7,gas_ocgt,MW,nem,VIC1
2015-02-22 18:55:00,285.8,gas_ocgt,MW,nem,VIC1
2015-02-22 19:00:00,286.0,gas_ocgt,MW,nem,VIC1
2015-02-22 19:05:00,286.0,gas_ocgt,MW,nem,VIC1
2015-02-22 19:10:00,277.3,gas_ocgt,MW,nem,VIC1
2015-02-22 19:15:00,254.2,gas_ocgt,MW,nem,VIC1
2015-02-22 19:20:00,246.0,gas_ocgt,MW,nem,VIC1
2015-02-22 19:25:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 19:30:00,244.7,gas_ocgt,MW,nem,VIC1
2015-02-22 19:35:00,244.7,gas_ocgt,MW,nem,VIC1
2015-02-22 19:40:00,245.8,gas_ocgt,MW,nem,VIC1
2015-02-22 19:45:00,245.8,gas_ocgt,MW,nem,VIC1
2015-02-22 19:50:00,246.8,gas_ocgt,MW,nem,VIC1
2015-02-22 19:55:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:00:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:05:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:10:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:15:00,246.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:20:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:25:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:30:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:35:00,246.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:40:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:45:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:50:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 20:55:00,246.9,gas_ocgt,MW,nem,VIC1
2015-02-22 21:00:00,246.0,gas_ocgt,MW,nem,VIC1
2015-02-22 21:05:00,245.9,gas_ocgt,MW,nem,VIC1
2015-02-22 21:10:00,189.9,gas_ocgt,MW,nem,VIC1
2015-02-22 21:15:00,125.9,gas_ocgt,MW,nem,VIC1
2015-02-22 21:20:00,59.88,gas_ocgt,MW,nem,VIC1
2015-02-22 21:25:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:30:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:40:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:45:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:50:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 21:55:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 22:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 22:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 22:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-22 22:15:00,-0.2443,gas_ocgt,MW,nem,VIC1
2015-02-22 22:20:00,-0.04601,gas_ocgt,MW,nem,VIC1
2015-02-22 22:25:00,-0.04601,gas_ocgt,MW,nem,VIC1
2015-02-22 22:30:00,13.26,gas_ocgt,MW,nem,VIC1
2015-02-22 22:35:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-22 22:40:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 22:45:00,19.63,gas_ocgt,MW,nem,VIC1
2015-02-22 22:50:00,18.91,gas_ocgt,MW,nem,VIC1
2015-02-22 22:55:00,19.87,gas_ocgt,MW,nem,VIC1
2015-02-22 23:00:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-22 23:05:00,20.23,gas_ocgt,MW,nem,VIC1
2015-02-22 23:10:00,20.23,gas_ocgt,MW,nem,VIC1
2015-02-22 23:15:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 23:20:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 23:25:00,20.11,gas_ocgt,MW,nem,VIC1
2015-02-22 23:30:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 23:35:00,20.46,gas_ocgt,MW,nem,VIC1
2015-02-22 23:40:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 23:45:00,20.16,gas_ocgt,MW,nem,VIC1
2015-02-22 23:50:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-22 23:55:00,20.7,gas_ocgt,MW,nem,VIC1
2015-02-23 00:00:00,20.34,gas_ocgt,MW,nem,VIC1
2015-02-23 00:05:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-23 00:10:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 00:15:00,20.34,gas_ocgt,MW,nem,VIC1
2015-02-23 00:20:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-23 00:25:00,20.4,gas_ocgt,MW,nem,VIC1
2015-02-23 00:30:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 00:35:00,19.74,gas_ocgt,MW,nem,VIC1
2015-02-23 00:40:00,19.86,gas_ocgt,MW,nem,VIC1
2015-02-23 00:45:00,20.28,gas_ocgt,MW,nem,VIC1
2015-02-23 00:50:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-23 00:55:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-23 01:00:00,20.46,gas_ocgt,MW,nem,VIC1
2015-02-23 01:05:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 01:10:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 01:15:00,20.28,gas_ocgt,MW,nem,VIC1
2015-02-23 01:20:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 01:25:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-23 01:30:00,19.92,gas_ocgt,MW,nem,VIC1
2015-02-23 01:35:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-23 01:40:00,20.29,gas_ocgt,MW,nem,VIC1
2015-02-23 01:45:00,20.17,gas_ocgt,MW,nem,VIC1
2015-02-23 01:50:00,20.05,gas_ocgt,MW,nem,VIC1
2015-02-23 01:55:00,20.22,gas_ocgt,MW,nem,VIC1
2015-02-23 02:00:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-23 02:05:00,20.28,gas_ocgt,MW,nem,VIC1
2015-02-23 02:10:00,20.1,gas_ocgt,MW,nem,VIC1
2015-02-23 02:15:00,19.81,gas_ocgt,MW,nem,VIC1
2015-02-23 02:20:00,20.04,gas_ocgt,MW,nem,VIC1
2015-02-23 02:25:00,20.11,gas_ocgt,MW,nem,VIC1
2015-02-23 02:30:00,20.22,gas_ocgt,MW,nem,VIC1
2015-02-23 02:35:00,19.98,gas_ocgt,MW,nem,VIC1
2015-02-23 02:40:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 02:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 02:50:00,-0.2443,gas_ocgt,MW,nem,VIC1
2015-02-23 02:55:00,-0.2443,gas_ocgt,MW,nem,VIC1
2015-02-23 03:00:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:05:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:10:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:15:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:20:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:25:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:30:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:35:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:40:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:50:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 03:55:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:00:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:05:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:10:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:15:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:20:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:25:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:30:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:35:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:40:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:45:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:50:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 04:55:00,-0.06427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:00:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:05:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:10:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:15:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:20:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:25:00,-0.00427,gas_ocgt,MW,nem,VIC1
2015-02-23 05:30:00,0.01399,gas_ocgt,MW,nem,VIC1
2015-02-23 05:35:00,-0.00427,gas_ocgt,MW,nem,VIC1
